rodada,arquivo,n,insertion_ms,quick_ms,speedup
1,dados/entrada_10000_rodada_01.txt,10000,2.029300,0.468400,4.332408
1,dados/entrada_100000_rodada_01.txt,100000,185.066400,5.488100,33.721397
1,dados/entrada_1000000_rodada_01.txt,1000000,18696.855300,65.042200,287.457302
2,dados/entrada_10000_rodada_02.txt,10000,3.231100,0.476700,6.778057
2,dados/entrada_100000_rodada_02.txt,100000,187.436500,5.465700,34.293229
2,dados/entrada_1000000_rodada_02.txt,1000000,18508.409000,63.030400,293.642576
3,dados/entrada_10000_rodada_03.txt,10000,1.994700,0.464300,4.296145
3,dados/entrada_100000_rodada_03.txt,100000,182.082400,5.476900,33.245522
3,dados/entrada_1000000_rodada_03.txt,1000000,18565.566800,64.492400,287.872165
4,dados/entrada_10000_rodada_04.txt,10000,1.992500,0.474000,4.203586
4,dados/entrada_100000_rodada_04.txt,100000,183.638900,5.529300,33.211962
4,dados/entrada_1000000_rodada_04.txt,1000000,18875.130700,62.963200,299.780359
5,dados/entrada_10000_rodada_05.txt,10000,2.015600,0.472100,4.269434
5,dados/entrada_100000_rodada_05.txt,100000,188.489100,5.520600,34.142865
5,dados/entrada_1000000_rodada_05.txt,1000000,18501.330200,64.398400,287.294874
6,dados/entrada_10000_rodada_06.txt,10000,2.009600,0.480800,4.179700
6,dados/entrada_100000_rodada_06.txt,100000,183.990300,5.517100,33.349096
6,dados/entrada_1000000_rodada_06.txt,1000000,18529.998000,64.430900,287.594896
7,dados/entrada_10000_rodada_07.txt,10000,2.687800,0.502600,5.347791
7,dados/entrada_100000_rodada_07.txt,100000,183.194600,5.613900,32.632323
7,dados/entrada_1000000_rodada_07.txt,1000000,18571.690100,63.621300,291.909944
8,dados/entrada_10000_rodada_08.txt,10000,2.128500,0.477800,4.454793
8,dados/entrada_100000_rodada_08.txt,100000,182.862400,5.422500,33.722895
8,dados/entrada_1000000_rodada_08.txt,1000000,19911.205600,64.308800,309.618677
9,dados/entrada_10000_rodada_09.txt,10000,2.034800,0.481800,4.223329
9,dados/entrada_100000_rodada_09.txt,100000,205.760200,5.551800,37.061890
9,dados/entrada_1000000_rodada_09.txt,1000000,19874.499300,63.756500,311.725068
10,dados/entrada_10000_rodada_10.txt,10000,2.006300,0.493500,4.065451
10,dados/entrada_100000_rodada_10.txt,100000,191.110600,5.449000,35.072600
10,dados/entrada_1000000_rodada_10.txt,1000000,19334.443100,63.307100,305.407183
11,dados/entrada_10000_rodada_11.txt,10000,2.004000,0.478700,4.186338
11,dados/entrada_100000_rodada_11.txt,100000,184.744200,5.779400,31.965983
11,dados/entrada_1000000_rodada_11.txt,1000000,18619.539900,62.765500,296.652459
12,dados/entrada_10000_rodada_12.txt,10000,2.023200,0.483500,4.184488
12,dados/entrada_100000_rodada_12.txt,100000,183.740100,5.516200,33.309180
12,dados/entrada_1000000_rodada_12.txt,1000000,19374.118600,66.466100,291.488723
13,dados/entrada_10000_rodada_13.txt,10000,2.008300,0.479500,4.188321
13,dados/entrada_100000_rodada_13.txt,100000,221.692300,5.951700,37.248568
13,dados/entrada_1000000_rodada_13.txt,1000000,18762.115100,63.925200,293.501078
